epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.316,1.67885,6.48417,2.08955,0.52756,0.57655,0.58703,0.45931,1.72621,4.34557,2.06916,0.000416034,0.000416034,0.000416034
2,241.878,1.9319,2.91984,2.27266,0.54565,0.56139,0.52388,0.37832,2.09584,4.15948,2.42693,0.000805222,0.000805222,0.000805222
3,363.024,2.08335,2.50056,2.3422,0.55295,0.72339,0.61515,0.43644,1.93642,2.31226,2.44232,0.00116691,0.00116691,0.00116691
4,484.151,1.95553,2.34511,2.32486,0.8434,0.54641,0.69392,0.49928,1.86235,2.72771,2.40327,0.00112625,0.00112625,0.00112625
5,608.133,1.90184,2.02892,2.28281,0.93558,0.68651,0.77156,0.53958,1.84559,2.56924,2.28114,0.001085,0.001085,0.001085
6,120.043,3.3479,4.5601,31.3211,0.66737,0.32003,0.37251,0.23327,3.2014,7.93344,47.9449,0.00104375,0.00104375,0.00104375
7,243.511,2.75523,3.13681,30.4025,0.59997,0.29229,0.39567,0.25178,3.15376,5.03319,17.0949,0.0010025,0.0010025,0.0010025
8,366.066,2.39092,2.72653,22.5474,0.81198,0.44349,0.5075,0.33749,2.15662,2.71915,11.5072,0.00096125,0.00096125,0.00096125
9,487.684,2.49447,3.40589,25.804,0.47648,0.29895,0.36849,0.23798,2.28466,3.10443,8.75172,0.00092,0.00092,0.00092
10,609.489,2.30667,2.94385,14.3135,0.45451,0.50686,0.47332,0.33942,1.92955,2.95157,8.12947,0.00087875,0.00087875,0.00087875
11,732.264,2.37623,3.03756,15.9983,0.90646,0.3964,0.47845,0.31171,2.24836,2.9355,7.22478,0.0008375,0.0008375,0.0008375
12,120.232,5.70689,6.93202,87.0753,0.13169,0.04739,0.02494,0.00847,6.39394,814028,104.789,0.00079625,0.00079625,0.00079625
13,243.011,5.26525,6.25408,34.9417,0.10962,0.08333,0.08229,0.02625,5.23517,75915.3,26.3758,0.000755,0.000755,0.000755
14,366.007,4.45387,4.65968,31.2508,0.18165,0.14683,0.1453,0.07626,4.12688,6557.37,98.4424,0.00071375,0.00071375,0.00071375
15,489.102,3.82662,4.21104,50.2086,0.14536,0.13492,0.12662,0.08285,3.55007,144980,15.8717,0.0006725,0.0006725,0.0006725
16,612.843,3.54152,3.92301,16.878,0.20745,0.18965,0.18993,0.11184,3.21238,4492.77,11.3614,0.00063125,0.00063125,0.00063125
17,735.961,3.20069,3.59411,21.7362,0.43971,0.24206,0.21884,0.13037,2.90503,1901.92,14.3786,0.00059,0.00059,0.00059
18,859.132,2.96989,3.23056,26.2948,0.15537,0.27222,0.19726,0.12624,2.99308,32109.8,12.5974,0.00054875,0.00054875,0.00054875
19,980.753,2.95209,3.00942,15.2541,0.66724,0.27731,0.27319,0.17816,2.60397,94.0908,13.4708,0.0005075,0.0005075,0.0005075
20,1102.26,2.77671,2.64644,10.1133,0.41898,0.43954,0.36578,0.22578,2.50743,302.829,13.9806,0.00046625,0.00046625,0.00046625
21,1224.12,2.30923,2.08982,18.1882,0.25654,0.5138,0.22735,0.14092,2.95868,5334.91,15.4868,0.000425,0.000425,0.000425
